GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,61,0,2,2,BasicMCTS,43.0,43.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
879079583,SushiGo,3,GAME_OVER,60,0,2,3,BasicMCTS,45.0,48.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-619666105,SushiGo,3,GAME_OVER,63,0,2,4,BasicMCTS,55.0,51.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
503938916,SushiGo,3,GAME_OVER,61,0,2,5,BasicMCTS,33.0,33.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,-1
-428737539,SushiGo,3,GAME_OVER,62,0,2,6,BasicMCTS,48.0,41.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
346665430,SushiGo,3,GAME_OVER,60,0,2,7,BasicMCTS,52.0,46.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
879079583,SushiGo,3,GAME_OVER,60,0,2,8,BasicMCTS,47.0,41.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-619666105,SushiGo,3,GAME_OVER,63,0,2,9,BasicMCTS,49.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
503938916,SushiGo,3,GAME_OVER,64,0,2,10,BasicMCTS,32.0,50.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-428737539,SushiGo,3,GAME_OVER,62,0,2,11,BasicMCTS,48.0,46.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
